source,target,tgt_lng
Code snippet,代码片段,
dataset,数据集,
Screenshot,截图,
experiment configuration,实验配置,
W&B,W&B,
Run,运行,
Overview tab,概览标签页,
Workspace,工作区,
logged charts,记录的图表,
data logged,记录的数据,
training,训练,
converged,收敛,
Hyperparameters,超参数,
learning rate,学习率,
scheduler,调度器,
training dynamics,训练动态,
configuration,配置,
batch size,批量大小,
computing resources,计算资源,
Sweep,扫描,
model convergence,模型收敛,
performance,性能,
training script,训练脚本,
default learning rate,默认学习率,
training loss,训练损失,
validation accuracy,验证准确度,
final test accuracy,最终测试准确度,
runs,运行,
titles and legends,标题和图例,
Model Testing,模型测试,
model evaluation,模型评估,
performance metrics,性能指标,
Pre-Train Test,预训练测试,
Post-Train Test,后训练测试,
model’s architecture,模型架构,
data preprocessing,数据预处理,
real-world situations,真实世界情境,
Problem 2 folder,问题2文件夹,
model_testing.py,model_testing.py,
Pre-Train Testing,预训练测试,
experimental correctness,实验正确性,
Data Leakage Check,数据泄露检查,
get_dataset() function,get_dataset()函数,
data augmentation,数据增强,
image hashing,图像哈希,
Model Architecture Check,模型架构检查,
get_model() function,get_model()函数,
label format,标签格式,
number of classes,类别数量,
Homework 1,作业1,
CSC 277 / 477,CSC 277 / 477,
End-to-end Deep Learning,端到端深度学习,
Fall 2025,2025年秋季,
John Doe,约翰·多伊,
jdoe@ur.rochester.edu,jdoe@ur.rochester.edu,
Blackboard,黑板,
LATEX,LATEX,
PDF,PDF,
http://overleaf.com,http://overleaf.com,
Python,Python,
PyTorch,PyTorch,
Lightning Fabric,闪电织物,
answerbox,答案框,
verbatim,verbatim,
hyperparameter tuning,超参数调优,
network fine-tuning,网络微调,
WandB,WandB,
Training Monitoring,训练监控,
network training,网络训练,
www.overleaf.com,www.overleaf.com,
CodeCogs Equation Editor,CodeCogs公式编辑器,
MathType,MathType,
AI (LLM),AI（大型语言模型）,
LATEXformatting,LATEX格式化,
neural networks,神经网络,
model architectures,模型架构,
optimization strategies,优化策略,
model performance,模型性能,
experiment results,实验结果,
model behavior,模型行为,
loss,损失,
accuracy,准确率,
convergence patterns,收敛模式,
overfitting,过拟合,
underfitting,欠拟合,
ResNet-18,ResNet-18,
image classification,图像分类,
Oxford-IIIT Pet Dataset,牛津-IIIT宠物数据集,
Weights and Biases,权重和偏差,
experiment logging,实验记录,
train.py,train.py,
custom Dataset class,自定义数据集类,
ImageFolder,图像文件夹,
oxford_pet_split.csv,oxford_pet_split.csv,
training splits,训练分割,
validation splits,验证分割,
test splits,测试分割,
image normalization,图像归一化,
ImageNet,ImageNet,
validation set,验证集,
evaluate() function,evaluate()函数,
dataloader,数据加载器,
cross-entropy loss,交叉熵损失,
W&B Logging,W&B记录,
W&B official tutorial,W&B官方教程,
training epochs,训练周期,
scheduler usage,调度器使用,
validation loss,验证损失,
test set,测试集,
get_args function,get_args函数,
W&B website,W&B网站,
Gradient Descent,梯度下降,
Validation,验证,
trainable parameters,可训练参数,
gradient step,梯度步长,
batch of data,数据批次,
Learning Rate Check,学习率检查,
learning rate range test,学习率范围测试,
pytorch-lr-finder,pytorch-lr-finder,
loss-learning rate graph,损失-学习率图,
torch_lr_finder.LRFinder,torch_lr_finder.LRFinder,
Post-Train Testing,训练后测试,
Dying ReLU Examination,死亡ReLU检查,
Dying ReLU,死亡ReLU,
ReLU neuron,ReLU神经元,
get_trained_model(),get_trained_model(),
get_test_set(),get_test_set(),
ResNet,ResNet,
utils/trained_models.py,utils/trained_models.py,
BatchNorm,批量归一化,
model accuracy,模型准确性,
brightness levels,亮度级别,
relationship,关系,
trends,趋势,
Model Robustness Test,模型鲁棒性测试,
Rotation,旋转,
image rotation,图像旋转,
rotation angles,旋转角度,
potential improvements,潜在改进,
Normalization Mismatch,归一化不匹配,
mean,均值,
standard deviation,标准差,
testing data,测试数据,
training data,训练数据,
model’s performance,模型性能,
predictions,预测,
W&B charts,W&B图表,
gradient norms,梯度范数,
exploding/vanishing gradients,爆炸/消失梯度,
problematic run,问题运行,
Code snippet(s),代码片段,
Learning Rate Scheduler,学习率调度器,
OneCycleLR scheduler,OneCycleLR调度器,
get_scheduler() function,get_scheduler()函数,
baseline,基线,
training process,训练过程,
final performance,最终性能,
parameter space,参数空间,
Adam,Adam,
SGD optimizers,SGD优化器,
total training steps,总训练步数,
seen examples,已见示例,
charts,图表,
Answer,答案,
6,6,
Brightness,亮度,
brightness factor,亮度因子,
λ,λ,
pixel values,像素值,
trained model,训练模型,
test dataset,测试数据集,
seen_examples,已见示例,
legends,图例,
smoothing,平滑,
blog post,博客文章,
Fine-Tuning,微调,
Pretrained Model,预训练模型,
torchvision.models.resnet18,torchvision.models.resnet18,
classification head,分类头,
model definition,模型定义,
setup,设置,
pre-training,预训练,
learning process,学习过程,
sweep configuration,扫描配置,
search space,搜索空间,
Gradient Norm Monitoring,梯度范数监控,
deep learning,深度学习,
L2 gradient norm,L2梯度范数,
model parameters,模型参数,
problematic variant,问题变体,
norm charts,范数图表,
loss curves,损失曲线,
default run,默认运行,
8,8,
